transaction_id,account_id,transaction_type,amount
TXN01300001,ACC124298,TRANSFER,13161
TXN01300002,ACC075164,TRANSFER,27735
TXN01300003,ACC082162,CREDIT,21206
TXN01300004,ACC123592,TRANSFER,18586
TXN01300005,ACC114397,CREDIT,18350
TXN01300006,ACC114643,UPI,46293
TXN01300007,ACC119586,DEBIT,1796
TXN01300008,ACC069339,CREDIT,14176
TXN01300009,ACC035808,TRANSFER,33891
TXN01300010,ACC109961,CREDIT,167
TXN01300011,ACC066776,DEBIT,12692
TXN01300012,ACC002992,UPI,42897
TXN01300013,ACC070060,CREDIT,31620
TXN01300014,ACC030324,CREDIT,49447
TXN01300015,ACC048889,TRANSFER,5027
TXN01300016,ACC108572,TRANSFER,33847
TXN01300017,ACC062262,CREDIT,23849
TXN01300018,ACC095447,TRANSFER,1504
TXN01300019,ACC048418,CREDIT,12434
TXN01300020,ACC077951,DEBIT,8905
TXN01300021,ACC128852,TRANSFER,44155
TXN01300022,ACC072441,CREDIT,47622
TXN01300023,ACC089029,TRANSFER,47429
TXN01300024,ACC041828,UPI,39427
TXN01300025,ACC065664,TRANSFER,42866
TXN01300026,ACC087610,CREDIT,18158
TXN01300027,ACC025609,TRANSFER,41762
TXN01300028,ACC062623,UPI,36255
TXN01300029,ACC108636,UPI,48726
TXN01300030,ACC064804,TRANSFER,10412
TXN01300031,ACC137896,TRANSFER,15718
TXN01300032,ACC046393,UPI,44738
TXN01300033,ACC021209,UPI,44585
TXN01300034,ACC027268,UPI,17389
TXN01300035,ACC066127,TRANSFER,12918
TXN01300036,ACC039892,DEBIT,46714
TXN01300037,ACC070027,DEBIT,13348
TXN01300038,ACC132818,UPI,44632
TXN01300039,ACC041434,CREDIT,10248
TXN01300040,ACC048678,DEBIT,22597
TXN01300041,ACC062118,DEBIT,14617
TXN01300042,ACC057397,CREDIT,48040
TXN01300043,ACC015005,CREDIT,20291
TXN01300044,ACC021639,DEBIT,30047
TXN01300045,ACC048372,CREDIT,25912
TXN01300046,ACC117341,CREDIT,16535
TXN01300047,ACC049444,UPI,32474
TXN01300048,ACC048701,CREDIT,43940
TXN01300049,ACC026196,UPI,2774
TXN01300050,ACC133616,CREDIT,18595
