transaction_id,account_id,transaction_type,amount
TXN00800001,ACC136240,TRANSFER,49938
TXN00800002,ACC069483,TRANSFER,34664
TXN00800003,ACC135923,TRANSFER,15589
TXN00800004,ACC055302,UPI,40293
TXN00800005,ACC050502,DEBIT,18916
TXN00800006,ACC074272,UPI,681
TXN00800007,ACC097507,CREDIT,7102
TXN00800008,ACC113750,DEBIT,4321
TXN00800009,ACC120199,CREDIT,7719
TXN00800010,ACC023998,UPI,18825
TXN00800011,ACC037961,DEBIT,27655
TXN00800012,ACC060844,CREDIT,34148
TXN00800013,ACC086198,TRANSFER,17438
TXN00800014,ACC104860,TRANSFER,16665
TXN00800015,ACC050724,TRANSFER,18459
TXN00800016,ACC139861,TRANSFER,36923
TXN00800017,ACC038403,DEBIT,19213
TXN00800018,ACC055895,UPI,16381
TXN00800019,ACC048307,UPI,22529
TXN00800020,ACC024423,TRANSFER,9353
TXN00800021,ACC125530,CREDIT,44983
TXN00800022,ACC099995,TRANSFER,15116
TXN00800023,ACC002338,DEBIT,39865
TXN00800024,ACC120214,UPI,5093
TXN00800025,ACC053286,TRANSFER,26038
TXN00800026,ACC014321,CREDIT,15425
TXN00800027,ACC101576,TRANSFER,30529
TXN00800028,ACC017189,UPI,15138
TXN00800029,ACC027115,CREDIT,12133
TXN00800030,ACC125168,DEBIT,44193
TXN00800031,ACC046721,DEBIT,49451
TXN00800032,ACC024926,TRANSFER,30757
TXN00800033,ACC052114,CREDIT,19257
TXN00800034,ACC076034,UPI,1756
TXN00800035,ACC124374,CREDIT,27609
TXN00800036,ACC089829,TRANSFER,34141
TXN00800037,ACC142489,UPI,6291
TXN00800038,ACC114551,CREDIT,35702
TXN00800039,ACC086444,TRANSFER,30631
TXN00800040,ACC027182,CREDIT,42866
TXN00800041,ACC063069,UPI,14461
TXN00800042,ACC121551,UPI,11516
TXN00800043,ACC002692,CREDIT,48276
TXN00800044,ACC091068,DEBIT,30041
TXN00800045,ACC051599,TRANSFER,2950
TXN00800046,ACC085309,UPI,45836
TXN00800047,ACC026954,UPI,36994
TXN00800048,ACC132698,DEBIT,1776
TXN00800049,ACC133187,DEBIT,18365
TXN00800050,ACC045900,DEBIT,33840
TXN00800051,ACC075088,TRANSFER,34984
TXN00800052,ACC079924,TRANSFER,20520
TXN00800053,ACC140599,CREDIT,3391
TXN00800054,ACC103659,CREDIT,10702
TXN00800055,ACC074282,TRANSFER,38532
TXN00800056,ACC049689,DEBIT,44951
TXN00800057,ACC016824,DEBIT,11104
TXN00800058,ACC042585,UPI,36851
TXN00800059,ACC102219,CREDIT,12717
TXN00800060,ACC126657,DEBIT,10231
TXN00800061,ACC028731,UPI,47020
TXN00800062,ACC139933,UPI,41466
TXN00800063,ACC081923,CREDIT,521
TXN00800064,ACC084374,TRANSFER,6988
TXN00800065,ACC048036,CREDIT,34505
TXN00800066,ACC097641,DEBIT,30349
TXN00800067,ACC117737,UPI,8123
TXN00800068,ACC100023,CREDIT,33602
TXN00800069,ACC030252,CREDIT,7063
TXN00800070,ACC126263,TRANSFER,43494
TXN00800071,ACC075688,CREDIT,43000
TXN00800072,ACC137089,TRANSFER,17630
TXN00800073,ACC134227,TRANSFER,18185
TXN00800074,ACC065991,TRANSFER,20466
TXN00800075,ACC062299,UPI,3883
TXN00800076,ACC044757,UPI,22312
TXN00800077,ACC045913,UPI,19789
TXN00800078,ACC072627,DEBIT,22450
TXN00800079,ACC137358,DEBIT,4738
TXN00800080,ACC106006,TRANSFER,30478
TXN00800081,ACC047910,DEBIT,42986
TXN00800082,ACC030619,DEBIT,48691
TXN00800083,ACC092145,CREDIT,4266
TXN00800084,ACC059903,UPI,40994
TXN00800085,ACC024788,UPI,128
TXN00800086,ACC039778,UPI,13812
TXN00800087,ACC012639,DEBIT,28827
TXN00800088,ACC116761,UPI,25483
TXN00800089,ACC108134,TRANSFER,13746
TXN00800090,ACC124065,TRANSFER,4066
TXN00800091,ACC005083,UPI,34799
TXN00800092,ACC090200,CREDIT,36738
TXN00800093,ACC133819,DEBIT,45531
TXN00800094,ACC019544,DEBIT,8621
TXN00800095,ACC077620,UPI,27826
TXN00800096,ACC102474,DEBIT,720
TXN00800097,ACC026440,DEBIT,16013
TXN00800098,ACC024222,UPI,17536
TXN00800099,ACC054802,UPI,13631
TXN00800100,ACC016280,TRANSFER,25577
TXN00800101,ACC074947,DEBIT,42729
TXN00800102,ACC095193,DEBIT,27647
TXN00800103,ACC005054,UPI,11353
TXN00800104,ACC133723,TRANSFER,4061
TXN00800105,ACC047257,DEBIT,16241
TXN00800106,ACC086038,CREDIT,40853
TXN00800107,ACC083521,TRANSFER,39252
TXN00800108,ACC089156,UPI,36901
TXN00800109,ACC048967,TRANSFER,11542
TXN00800110,ACC085260,DEBIT,31110
TXN00800111,ACC109116,TRANSFER,36927
TXN00800112,ACC134561,UPI,14592
TXN00800113,ACC028385,TRANSFER,11549
TXN00800114,ACC075612,DEBIT,16101
TXN00800115,ACC050866,TRANSFER,44346
TXN00800116,ACC044693,DEBIT,2703
TXN00800117,ACC055832,TRANSFER,6491
TXN00800118,ACC101032,UPI,12701
TXN00800119,ACC059577,CREDIT,15611
TXN00800120,ACC053098,CREDIT,13957
TXN00800121,ACC122084,UPI,1587
TXN00800122,ACC055806,TRANSFER,20698
TXN00800123,ACC067032,CREDIT,9953
TXN00800124,ACC007981,TRANSFER,40457
TXN00800125,ACC030779,TRANSFER,28607
TXN00800126,ACC147732,DEBIT,42903
TXN00800127,ACC073193,TRANSFER,23848
TXN00800128,ACC117742,DEBIT,19797
TXN00800129,ACC115830,CREDIT,22774
TXN00800130,ACC118525,TRANSFER,680
TXN00800131,ACC110891,UPI,19582
TXN00800132,ACC087799,UPI,19024
TXN00800133,ACC093891,UPI,13647
TXN00800134,ACC002973,CREDIT,36551
TXN00800135,ACC061236,TRANSFER,17975
TXN00800136,ACC030605,UPI,7313
TXN00800137,ACC081650,CREDIT,35435
TXN00800138,ACC028771,DEBIT,26083
TXN00800139,ACC091795,DEBIT,28028
TXN00800140,ACC013381,TRANSFER,47614
TXN00800141,ACC107510,TRANSFER,40137
TXN00800142,ACC045787,TRANSFER,24545
TXN00800143,ACC007491,TRANSFER,3671
TXN00800144,ACC110061,TRANSFER,20471
TXN00800145,ACC045994,CREDIT,32050
TXN00800146,ACC063172,CREDIT,7899
TXN00800147,ACC008166,DEBIT,19346
TXN00800148,ACC005638,UPI,29331
TXN00800149,ACC102799,UPI,37030
TXN00800150,ACC069983,UPI,15428
TXN00800151,ACC019954,DEBIT,19105
TXN00800152,ACC143356,DEBIT,33768
TXN00800153,ACC111435,TRANSFER,36192
TXN00800154,ACC013524,UPI,37038
TXN00800155,ACC131436,UPI,43151
TXN00800156,ACC111272,TRANSFER,40376
TXN00800157,ACC051785,CREDIT,2619
TXN00800158,ACC031396,TRANSFER,28811
TXN00800159,ACC043740,CREDIT,27508
TXN00800160,ACC067248,DEBIT,37799
TXN00800161,ACC053488,TRANSFER,44702
TXN00800162,ACC113234,UPI,48258
TXN00800163,ACC115742,DEBIT,38471
TXN00800164,ACC141022,CREDIT,29037
TXN00800165,ACC127204,TRANSFER,45999
TXN00800166,ACC105602,UPI,18607
TXN00800167,ACC126083,DEBIT,18371
TXN00800168,ACC136591,CREDIT,37324
TXN00800169,ACC003542,UPI,34993
TXN00800170,ACC114201,CREDIT,11162
TXN00800171,ACC111971,CREDIT,31260
TXN00800172,ACC011478,UPI,46208
TXN00800173,ACC088141,UPI,897
TXN00800174,ACC013857,UPI,35631
TXN00800175,ACC038669,CREDIT,27518
TXN00800176,ACC142924,UPI,49034
TXN00800177,ACC053518,UPI,30547
TXN00800178,ACC007544,TRANSFER,15687
TXN00800179,ACC035645,TRANSFER,43654
TXN00800180,ACC011208,UPI,41068
TXN00800181,ACC077077,TRANSFER,5725
TXN00800182,ACC038007,UPI,27378
TXN00800183,ACC011866,UPI,17990
TXN00800184,ACC100207,UPI,12098
TXN00800185,ACC124913,UPI,4926
TXN00800186,ACC084664,DEBIT,10281
TXN00800187,ACC101519,CREDIT,46970
TXN00800188,ACC067458,CREDIT,7814
TXN00800189,ACC140685,DEBIT,21603
TXN00800190,ACC129505,CREDIT,18707
TXN00800191,ACC029143,CREDIT,46481
TXN00800192,ACC090384,DEBIT,3266
TXN00800193,ACC031102,DEBIT,2343
TXN00800194,ACC139602,UPI,26710
TXN00800195,ACC135629,UPI,47475
TXN00800196,ACC031207,CREDIT,2854
TXN00800197,ACC043606,TRANSFER,39510
TXN00800198,ACC000982,TRANSFER,14429
TXN00800199,ACC041238,CREDIT,49370
TXN00800200,ACC082417,CREDIT,33645
TXN00800201,ACC149286,CREDIT,48726
TXN00800202,ACC026274,TRANSFER,400
TXN00800203,ACC001981,DEBIT,43215
TXN00800204,ACC027377,TRANSFER,43825
TXN00800205,ACC032274,UPI,21801
TXN00800206,ACC077706,UPI,31459
TXN00800207,ACC004957,TRANSFER,49958
TXN00800208,ACC068631,CREDIT,5216
TXN00800209,ACC062067,CREDIT,13263
TXN00800210,ACC090277,UPI,27059
TXN00800211,ACC124961,UPI,17570
TXN00800212,ACC042866,CREDIT,41229
TXN00800213,ACC108861,CREDIT,12259
TXN00800214,ACC108857,TRANSFER,3813
TXN00800215,ACC101308,CREDIT,42919
TXN00800216,ACC021414,DEBIT,20467
TXN00800217,ACC012011,CREDIT,37153
TXN00800218,ACC149621,UPI,48767
TXN00800219,ACC002355,DEBIT,46307
TXN00800220,ACC031918,TRANSFER,14666
TXN00800221,ACC121185,CREDIT,42140
TXN00800222,ACC109061,TRANSFER,13461
TXN00800223,ACC107704,CREDIT,42731
TXN00800224,ACC023472,CREDIT,4271
TXN00800225,ACC048345,CREDIT,48425
TXN00800226,ACC091747,CREDIT,40284
TXN00800227,ACC059812,DEBIT,45847
TXN00800228,ACC054124,TRANSFER,33909
TXN00800229,ACC065212,TRANSFER,27021
TXN00800230,ACC069173,UPI,11319
TXN00800231,ACC115885,CREDIT,12059
TXN00800232,ACC071768,UPI,85
TXN00800233,ACC097202,TRANSFER,16575
TXN00800234,ACC082000,CREDIT,5881
TXN00800235,ACC083175,CREDIT,44833
TXN00800236,ACC127656,TRANSFER,33108
TXN00800237,ACC022738,UPI,32601
TXN00800238,ACC089229,DEBIT,26705
TXN00800239,ACC122401,DEBIT,31985
TXN00800240,ACC022718,TRANSFER,39788
TXN00800241,ACC083167,CREDIT,8742
TXN00800242,ACC026350,TRANSFER,38797
TXN00800243,ACC096425,TRANSFER,20093
TXN00800244,ACC144651,CREDIT,11926
TXN00800245,ACC130941,CREDIT,1249
TXN00800246,ACC049481,CREDIT,47930
TXN00800247,ACC052511,UPI,40682
TXN00800248,ACC006088,CREDIT,21644
TXN00800249,ACC040919,CREDIT,42639
TXN00800250,ACC073886,TRANSFER,9298
TXN00800251,ACC104912,TRANSFER,26207
TXN00800252,ACC026858,DEBIT,1081
TXN00800253,ACC130008,CREDIT,46792
TXN00800254,ACC137057,UPI,41877
