transaction_id,account_id,transaction_type,amount
TXN01400001,ACC083971,TRANSFER,3697
TXN01400002,ACC038163,UPI,45781
TXN01400003,ACC108920,DEBIT,15201
TXN01400004,ACC072450,DEBIT,21640
TXN01400005,ACC063033,TRANSFER,25148
TXN01400006,ACC030715,TRANSFER,34421
TXN01400007,ACC115887,UPI,5263
TXN01400008,ACC016698,TRANSFER,48707
TXN01400009,ACC060456,DEBIT,3144
TXN01400010,ACC028069,DEBIT,17164
TXN01400011,ACC024083,CREDIT,17386
TXN01400012,ACC045418,DEBIT,23645
TXN01400013,ACC117431,CREDIT,46558
TXN01400014,ACC057490,DEBIT,16158
TXN01400015,ACC043989,UPI,29126
TXN01400016,ACC146625,UPI,10743
TXN01400017,ACC025301,CREDIT,6943
TXN01400018,ACC122452,UPI,13268
TXN01400019,ACC145641,UPI,45804
TXN01400020,ACC000136,CREDIT,9597
TXN01400021,ACC066488,DEBIT,6014
TXN01400022,ACC046049,TRANSFER,33513
TXN01400023,ACC009146,TRANSFER,43287
TXN01400024,ACC130049,UPI,31412
TXN01400025,ACC033175,TRANSFER,19375
TXN01400026,ACC096328,CREDIT,35556
TXN01400027,ACC137820,UPI,8651
TXN01400028,ACC049166,CREDIT,45150
TXN01400029,ACC125228,CREDIT,3948
TXN01400030,ACC142071,TRANSFER,23158
TXN01400031,ACC067367,TRANSFER,23535
TXN01400032,ACC054004,CREDIT,32878
TXN01400033,ACC065487,DEBIT,35220
TXN01400034,ACC087495,CREDIT,25488
TXN01400035,ACC094224,TRANSFER,36068
TXN01400036,ACC005430,DEBIT,11406
TXN01400037,ACC103543,DEBIT,12305
TXN01400038,ACC133169,CREDIT,48510
TXN01400039,ACC070548,UPI,41798
TXN01400040,ACC100253,UPI,5204
TXN01400041,ACC032984,UPI,44079
TXN01400042,ACC034169,DEBIT,29597
TXN01400043,ACC058847,CREDIT,45807
TXN01400044,ACC074734,UPI,48097
TXN01400045,ACC095041,DEBIT,35279
TXN01400046,ACC074674,CREDIT,24258
TXN01400047,ACC096154,DEBIT,3138
TXN01400048,ACC043281,DEBIT,43641
TXN01400049,ACC048862,TRANSFER,15899
TXN01400050,ACC055421,CREDIT,17533
TXN01400051,ACC045781,TRANSFER,29011
TXN01400052,ACC062267,TRANSFER,7431
TXN01400053,ACC078333,DEBIT,9536
TXN01400054,ACC049238,UPI,2201
TXN01400055,ACC100003,DEBIT,11888
TXN01400056,ACC109432,TRANSFER,39746
TXN01400057,ACC046236,CREDIT,7527
TXN01400058,ACC040816,DEBIT,43736
TXN01400059,ACC058581,CREDIT,21794
TXN01400060,ACC129120,TRANSFER,25861
TXN01400061,ACC130617,UPI,37625
TXN01400062,ACC138526,DEBIT,28165
TXN01400063,ACC012208,TRANSFER,24801
TXN01400064,ACC045240,CREDIT,24820
TXN01400065,ACC074075,DEBIT,36341
TXN01400066,ACC059886,TRANSFER,47263
TXN01400067,ACC114830,UPI,35474
TXN01400068,ACC135440,DEBIT,29232
TXN01400069,ACC146518,CREDIT,3594
TXN01400070,ACC022203,UPI,42340
TXN01400071,ACC024322,DEBIT,42762
TXN01400072,ACC118982,CREDIT,43414
TXN01400073,ACC104961,TRANSFER,12193
TXN01400074,ACC124932,UPI,15029
TXN01400075,ACC013120,UPI,37574
TXN01400076,ACC003487,TRANSFER,37858
TXN01400077,ACC048966,CREDIT,23714
TXN01400078,ACC122442,TRANSFER,8232
TXN01400079,ACC072897,DEBIT,37858
TXN01400080,ACC052909,UPI,49856
TXN01400081,ACC001313,CREDIT,41803
TXN01400082,ACC038404,DEBIT,28969
TXN01400083,ACC084575,DEBIT,35625
TXN01400084,ACC133900,CREDIT,31834
TXN01400085,ACC076671,TRANSFER,18228
TXN01400086,ACC026982,TRANSFER,32502
TXN01400087,ACC019800,TRANSFER,28077
TXN01400088,ACC079895,CREDIT,49897
TXN01400089,ACC129399,UPI,30325
TXN01400090,ACC044686,CREDIT,15829
TXN01400091,ACC105442,DEBIT,5860
TXN01400092,ACC133148,CREDIT,19899
TXN01400093,ACC015456,TRANSFER,9438
TXN01400094,ACC051626,UPI,10307
TXN01400095,ACC145450,CREDIT,46007
TXN01400096,ACC030903,UPI,20833
TXN01400097,ACC141469,CREDIT,35262
TXN01400098,ACC077411,TRANSFER,17018
TXN01400099,ACC126368,DEBIT,11039
TXN01400100,ACC016155,CREDIT,5782
TXN01400101,ACC052402,DEBIT,19023
TXN01400102,ACC045882,TRANSFER,19063
TXN01400103,ACC100577,CREDIT,35301
TXN01400104,ACC104999,DEBIT,37455
TXN01400105,ACC115830,DEBIT,20352
TXN01400106,ACC121451,DEBIT,15574
TXN01400107,ACC106303,UPI,34102
TXN01400108,ACC108814,DEBIT,17361
TXN01400109,ACC104535,TRANSFER,21905
TXN01400110,ACC140330,CREDIT,2578
TXN01400111,ACC086233,DEBIT,14957
TXN01400112,ACC026913,DEBIT,19092
TXN01400113,ACC098120,CREDIT,9695
TXN01400114,ACC137157,CREDIT,12054
TXN01400115,ACC012472,UPI,45224
TXN01400116,ACC053931,UPI,35800
TXN01400117,ACC139767,UPI,40781
TXN01400118,ACC111732,CREDIT,49969
TXN01400119,ACC033373,DEBIT,15313
TXN01400120,ACC120459,TRANSFER,3988
TXN01400121,ACC066045,DEBIT,1379
TXN01400122,ACC096322,CREDIT,29808
TXN01400123,ACC114814,DEBIT,15711
