transaction_id,account_id,transaction_type,amount
TXN00400001,ACC021412,TRANSFER,46213
TXN00400002,ACC059681,DEBIT,46972
TXN00400003,ACC070463,UPI,35027
TXN00400004,ACC069892,UPI,4092
TXN00400005,ACC077844,DEBIT,14506
TXN00400006,ACC092710,CREDIT,5571
TXN00400007,ACC106171,TRANSFER,38154
TXN00400008,ACC136866,CREDIT,10460
TXN00400009,ACC124787,UPI,43484
TXN00400010,ACC076751,CREDIT,27911
TXN00400011,ACC145276,DEBIT,36303
TXN00400012,ACC089183,DEBIT,34551
TXN00400013,ACC067195,TRANSFER,30879
TXN00400014,ACC119188,TRANSFER,17296
TXN00400015,ACC035795,UPI,47679
TXN00400016,ACC030743,TRANSFER,8440
TXN00400017,ACC047276,UPI,8624
TXN00400018,ACC109882,CREDIT,22887
TXN00400019,ACC128025,CREDIT,38110
TXN00400020,ACC092118,CREDIT,13178
TXN00400021,ACC082575,UPI,2730
TXN00400022,ACC124051,DEBIT,25687
TXN00400023,ACC015546,UPI,6861
TXN00400024,ACC037480,DEBIT,4881
TXN00400025,ACC139373,TRANSFER,4704
TXN00400026,ACC091809,UPI,15846
TXN00400027,ACC143963,TRANSFER,38002
TXN00400028,ACC123505,TRANSFER,41878
TXN00400029,ACC033239,CREDIT,8687
TXN00400030,ACC014152,DEBIT,13264
TXN00400031,ACC135225,UPI,968
TXN00400032,ACC008721,TRANSFER,8271
TXN00400033,ACC036333,DEBIT,48323
TXN00400034,ACC096194,UPI,47496
TXN00400035,ACC066029,DEBIT,1792
TXN00400036,ACC096876,DEBIT,26450
TXN00400037,ACC088489,DEBIT,49811
TXN00400038,ACC103589,CREDIT,6114
TXN00400039,ACC135198,DEBIT,13271
TXN00400040,ACC146875,DEBIT,47925
TXN00400041,ACC145544,DEBIT,41025
TXN00400042,ACC000520,DEBIT,41936
TXN00400043,ACC021643,UPI,28138
TXN00400044,ACC016223,TRANSFER,42331
TXN00400045,ACC006231,TRANSFER,28160
TXN00400046,ACC099525,UPI,10148
TXN00400047,ACC110732,TRANSFER,38113
TXN00400048,ACC083208,TRANSFER,14491
TXN00400049,ACC008994,CREDIT,19322
TXN00400050,ACC018009,DEBIT,8947
TXN00400051,ACC004910,CREDIT,23249
TXN00400052,ACC030298,UPI,44125
TXN00400053,ACC146998,DEBIT,10428
TXN00400054,ACC034878,DEBIT,39797
TXN00400055,ACC062722,TRANSFER,16006
TXN00400056,ACC129765,TRANSFER,31637
TXN00400057,ACC139889,CREDIT,25676
TXN00400058,ACC002426,DEBIT,16605
TXN00400059,ACC091774,UPI,12463
TXN00400060,ACC146471,CREDIT,26193
TXN00400061,ACC116829,CREDIT,1100
TXN00400062,ACC125052,UPI,6157
TXN00400063,ACC046902,TRANSFER,33255
TXN00400064,ACC110648,UPI,26162
TXN00400065,ACC081160,TRANSFER,8434
TXN00400066,ACC096650,CREDIT,9746
TXN00400067,ACC047215,TRANSFER,22645
TXN00400068,ACC043466,UPI,14388
TXN00400069,ACC126458,CREDIT,41149
TXN00400070,ACC061221,TRANSFER,46513
TXN00400071,ACC108947,TRANSFER,16667
TXN00400072,ACC088164,DEBIT,17829
TXN00400073,ACC085433,UPI,41985
TXN00400074,ACC015209,DEBIT,17863
TXN00400075,ACC038733,UPI,40782
TXN00400076,ACC045414,TRANSFER,6097
TXN00400077,ACC075423,TRANSFER,48285
TXN00400078,ACC117493,DEBIT,7245
TXN00400079,ACC061879,DEBIT,27252
TXN00400080,ACC086157,UPI,6509
TXN00400081,ACC057498,TRANSFER,44286
TXN00400082,ACC032291,TRANSFER,21753
TXN00400083,ACC046962,UPI,16571
TXN00400084,ACC017547,TRANSFER,9019
TXN00400085,ACC081974,CREDIT,1059
TXN00400086,ACC122165,UPI,48232
TXN00400087,ACC116789,CREDIT,45510
TXN00400088,ACC039155,DEBIT,6189
TXN00400089,ACC111099,TRANSFER,46263
TXN00400090,ACC110744,CREDIT,40578
TXN00400091,ACC123170,DEBIT,9386
TXN00400092,ACC117114,UPI,2369
TXN00400093,ACC024540,TRANSFER,17018
TXN00400094,ACC046556,TRANSFER,23758
TXN00400095,ACC072247,UPI,40974
TXN00400096,ACC053039,UPI,46845
TXN00400097,ACC061638,UPI,27010
TXN00400098,ACC020565,CREDIT,10061
TXN00400099,ACC129549,DEBIT,45729
TXN00400100,ACC101348,TRANSFER,33439
TXN00400101,ACC017077,UPI,34392
TXN00400102,ACC042802,TRANSFER,27899
TXN00400103,ACC084831,TRANSFER,29283
TXN00400104,ACC061455,UPI,46608
TXN00400105,ACC021145,TRANSFER,46808
TXN00400106,ACC058433,CREDIT,1589
TXN00400107,ACC004038,UPI,286
TXN00400108,ACC133908,TRANSFER,8117
TXN00400109,ACC052503,CREDIT,49790
TXN00400110,ACC119869,CREDIT,23834
TXN00400111,ACC089858,TRANSFER,6211
TXN00400112,ACC017619,DEBIT,40145
TXN00400113,ACC065708,DEBIT,7989
TXN00400114,ACC073674,DEBIT,17964
TXN00400115,ACC025270,UPI,44707
TXN00400116,ACC045761,CREDIT,13801
TXN00400117,ACC080771,DEBIT,39791
TXN00400118,ACC097854,TRANSFER,36389
TXN00400119,ACC137958,DEBIT,4558
TXN00400120,ACC031866,DEBIT,6727
TXN00400121,ACC085260,CREDIT,36224
TXN00400122,ACC060137,CREDIT,30918
TXN00400123,ACC071029,TRANSFER,46317
TXN00400124,ACC130395,UPI,31970
TXN00400125,ACC136710,CREDIT,16851
TXN00400126,ACC031164,CREDIT,595
TXN00400127,ACC134938,CREDIT,9845
TXN00400128,ACC009078,TRANSFER,12569
TXN00400129,ACC087541,CREDIT,23944
TXN00400130,ACC056337,DEBIT,23505
TXN00400131,ACC074722,TRANSFER,20717
TXN00400132,ACC036985,CREDIT,3568
TXN00400133,ACC146432,TRANSFER,2369
TXN00400134,ACC141596,TRANSFER,47330
TXN00400135,ACC090231,UPI,3531
TXN00400136,ACC085827,TRANSFER,35216
TXN00400137,ACC095730,CREDIT,17931
TXN00400138,ACC130975,CREDIT,32596
TXN00400139,ACC036230,DEBIT,2048
TXN00400140,ACC040395,CREDIT,7089
TXN00400141,ACC107679,DEBIT,12399
TXN00400142,ACC131993,UPI,20514
TXN00400143,ACC038950,DEBIT,17803
TXN00400144,ACC104811,DEBIT,13250
TXN00400145,ACC095921,UPI,35836
TXN00400146,ACC139576,CREDIT,44324
TXN00400147,ACC105069,UPI,33725
TXN00400148,ACC084274,TRANSFER,7674
TXN00400149,ACC030373,DEBIT,31000
TXN00400150,ACC129524,DEBIT,30346
TXN00400151,ACC134640,DEBIT,47513
TXN00400152,ACC040315,TRANSFER,31559
TXN00400153,ACC069661,DEBIT,12946
TXN00400154,ACC111222,DEBIT,44489
TXN00400155,ACC073207,CREDIT,9643
TXN00400156,ACC094347,CREDIT,1299
TXN00400157,ACC080584,CREDIT,33204
TXN00400158,ACC146028,CREDIT,10651
TXN00400159,ACC145397,CREDIT,23845
TXN00400160,ACC090228,TRANSFER,35211
TXN00400161,ACC095334,UPI,13792
TXN00400162,ACC072126,TRANSFER,20579
TXN00400163,ACC032142,TRANSFER,567
TXN00400164,ACC011184,UPI,44223
TXN00400165,ACC013611,TRANSFER,16223
TXN00400166,ACC110321,TRANSFER,38679
TXN00400167,ACC022344,DEBIT,45168
TXN00400168,ACC100989,CREDIT,2164
TXN00400169,ACC015104,TRANSFER,1824
TXN00400170,ACC104371,UPI,19856
TXN00400171,ACC120297,UPI,31194
TXN00400172,ACC128585,DEBIT,10145
TXN00400173,ACC033013,DEBIT,853
TXN00400174,ACC056895,TRANSFER,49579
TXN00400175,ACC002607,TRANSFER,19900
TXN00400176,ACC112551,UPI,32901
TXN00400177,ACC036423,DEBIT,37577
TXN00400178,ACC055800,CREDIT,36112
TXN00400179,ACC099321,UPI,2225
TXN00400180,ACC041428,TRANSFER,3737
TXN00400181,ACC032545,DEBIT,37219
TXN00400182,ACC115272,CREDIT,24674
TXN00400183,ACC098868,CREDIT,13869
TXN00400184,ACC057190,CREDIT,20890
TXN00400185,ACC018876,TRANSFER,43033
TXN00400186,ACC101068,DEBIT,23674
TXN00400187,ACC069274,CREDIT,2281
TXN00400188,ACC068860,CREDIT,1533
TXN00400189,ACC008299,DEBIT,39159
TXN00400190,ACC049788,TRANSFER,23958
TXN00400191,ACC149318,TRANSFER,10988
TXN00400192,ACC145218,CREDIT,24705
TXN00400193,ACC037481,UPI,20583
TXN00400194,ACC085828,DEBIT,10920
TXN00400195,ACC076217,CREDIT,34086
TXN00400196,ACC062567,UPI,13392
TXN00400197,ACC050931,TRANSFER,37992
TXN00400198,ACC098530,UPI,21630
TXN00400199,ACC047342,TRANSFER,13262
TXN00400200,ACC023736,CREDIT,16400
TXN00400201,ACC019612,CREDIT,48748
TXN00400202,ACC021367,DEBIT,9732
TXN00400203,ACC126508,DEBIT,10538
TXN00400204,ACC015482,CREDIT,30854
TXN00400205,ACC065751,CREDIT,24740
TXN00400206,ACC125950,TRANSFER,2304
TXN00400207,ACC003684,DEBIT,32841
TXN00400208,ACC068978,UPI,34118
TXN00400209,ACC108639,CREDIT,2460
TXN00400210,ACC108066,UPI,14743
TXN00400211,ACC038742,TRANSFER,9427
TXN00400212,ACC059031,DEBIT,33401
TXN00400213,ACC029213,DEBIT,32201
TXN00400214,ACC135350,TRANSFER,35490
TXN00400215,ACC009410,CREDIT,40330
TXN00400216,ACC041771,CREDIT,21758
TXN00400217,ACC030225,CREDIT,42092
TXN00400218,ACC105022,TRANSFER,35781
TXN00400219,ACC026366,UPI,4050
TXN00400220,ACC035190,DEBIT,23730
TXN00400221,ACC140038,CREDIT,11171
TXN00400222,ACC144203,UPI,1939
TXN00400223,ACC046588,TRANSFER,9025
TXN00400224,ACC109054,CREDIT,1055
TXN00400225,ACC144096,TRANSFER,3840
TXN00400226,ACC059953,CREDIT,32396
TXN00400227,ACC109313,CREDIT,3839
TXN00400228,ACC109805,UPI,10584
TXN00400229,ACC030363,CREDIT,24565
TXN00400230,ACC083086,DEBIT,34705
TXN00400231,ACC138560,CREDIT,23688
TXN00400232,ACC083797,DEBIT,1243
TXN00400233,ACC080573,TRANSFER,45010
TXN00400234,ACC053455,TRANSFER,45317
TXN00400235,ACC044072,CREDIT,3285
TXN00400236,ACC128959,UPI,39543
TXN00400237,ACC020346,TRANSFER,44395
TXN00400238,ACC092120,UPI,24954
TXN00400239,ACC105684,UPI,9814
TXN00400240,ACC038060,DEBIT,6681
TXN00400241,ACC121684,TRANSFER,12699
TXN00400242,ACC099816,UPI,40005
TXN00400243,ACC078502,CREDIT,34436
TXN00400244,ACC019216,DEBIT,30875
TXN00400245,ACC046276,UPI,28587
TXN00400246,ACC060745,DEBIT,44338
TXN00400247,ACC016822,TRANSFER,38972
TXN00400248,ACC017768,DEBIT,14161
TXN00400249,ACC137405,CREDIT,6775
TXN00400250,ACC102706,UPI,8916
TXN00400251,ACC003165,UPI,24094
TXN00400252,ACC041770,CREDIT,7058
TXN00400253,ACC066351,UPI,43673
TXN00400254,ACC075905,DEBIT,24447
TXN00400255,ACC144177,UPI,20458
TXN00400256,ACC002420,CREDIT,41798
TXN00400257,ACC025854,TRANSFER,36033
TXN00400258,ACC137874,UPI,9221
TXN00400259,ACC027136,DEBIT,34976
TXN00400260,ACC145268,TRANSFER,20069
TXN00400261,ACC116184,UPI,19201
